CTRL,Bauer et al (pg.),Schneider; Ur III,Rosengarten,LAK,REC,OBO,Labat,Borger (MesZL),unicode,OB Signs,Sign var. (?),OGSL,SIGN NAME,ED III Sumerian (Oracc),ED III Sumerian (Oracc)_att,Lagaš II Sumerian (Oracc),Lagaš II Sumerian (Oracc)_att,Ur III,OB Sumerian,Basic Meaning,Other,Akkadian word equivalent,Uruk,Pre-Sargonic,Ebla,Ebla Meaning,OAkk,OB,OA,OA Meaning,Amarna,MA (Oracc),MA (Oracc)_att,MB (Oracc),MB (Oracc)_att,Nuzi,NA,NA (Oracc),NA (Oracc)_att,NB (Oracc),NB (Oracc)_att,LB (Oracc),LB (Oracc)_att
,,,,,,382,58,86,12305,𒌅,𒌅,TU,TU,tu; tum₁₂; TU,TU (20); tu (17); tum₁₂ (13),du₂; tu; tud; tur₅,tud (31); du₂ (2); tur₅ (1); tu (1),,du2; dud2? k; dur11; tu; tum12; tur5; [tu/TU-r],to give birth; to create; (tu mušen): pigeon,,,,,,,,, TU (uncommon; typically in PNs with MAR.TU or SA.TU-e),,,tu; ṭu₂,tu (200); ṭu₂ (1),du₂; tu; ṭu₂; TU,tu (1042); ṭu₂ (32); du₂ (11); TU (4),,tu,tu; ṭu₂; TU,tu (3980); ṭu₂ (67); TU (40),tu; ṭu₂; TU,tu (1139); TU (50); ṭu₂ (2),tu; ṭu₂; TU,tu (381); ṭu₂ (5); TU (4)
,,,,,,325,16,26,12172,𒅲, 𒅲,|KA×LI|,TU6 (KA×LI),,,,,,meli2? k; mu7; še30 k; tu6; uš7; [ĝili3; mili2],,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,417,536,809,,𒌆,𒉇 ,TUG₂,TUG2 k,azlag₂; dul₅; taskarin; tug₂; umuš; TUG₂,tug₂ (90); TUG₂ (14); taskarin (4); dul₅ (3); umuš (2); azlag₂ (1),taškarin; tu₉; tuku₂,tuku₂ (2); tu₉ (1); taškarin (1),,dašgari; dul5; mu4; nam2; tu9; umuš; še3-; (tuba4 k); (tug2); [taskarin/taškarin; tiškarin],garment; (mu4): to wear a garment; to dress,,,,,,,,, TUG2 - ṣubātu,clothes,,,,TUG₂,TUG₂ (4),,,TUG₂,TUG₂ (14),tuk₂; TUG₂,TUG₂ (192); tuk₂ (1),,
,,,,,,444,574,827,,𒌇, 𒌇,TUK,TUK,tuku; TUK,tuku (13); TUK (10),tuku,tuku (13),,du12; tuku; (tuk k),to have; to marry; to sing; to play music,,,,,,,,,,,,,,tuk,tuk (4),,,tuk; tuq; TUK,tuk (100); TUK (51); tuq (30),tuk; tuq; TUK,tuk (20); tuq (5); TUK (2),tuk; tuq; TUK,TUK (13); tuk (5); tuq (2)
,,,,,,410,511,786,,𒇥, 𒇥,|LAGAB×U|,TUL2 (LAGAB×U),|LAGAB×U|; gigir₂; hab₂; tul₂,hab₂ (14); gigir₂ (13); |LAGAB×U| (3); tul₂ (1),pu₂,pu₂ (1),,bu4/pu2; dul2; hab2; ub4; (gigir2); [tul2],(pu2): well,,,,,,,,,,,,,,hab₂; tul₂,tul₂ (3); hab₂ (2),,,bu₄; pu₂; tul₂; ṭul,pu₂ (19); ṭul (6); tul₂ (3); bu₄ (3),,,,
,,720,403; 404,,,75,207,354,,𒌈, 𒌈,TUM,TUM,ib₂; tum; TUM,tum (25); ib₂ (7); TUM (4),eb₂; ib₂,ib₂ (24); eb₂ (3),,dum; eb2; egurx? k; ib2; tum,(ib2): loins,,,,,,,,, tum; dum; ṭum (extremely rare); ib2; ip2 (extremely rare; ib; ip preferred),,,,,du₄; dum; eb₂; ib₂; ip₂; tu₄; tum; ṭu₄; ṭum; TUM,tum (820); tu₄ (156); dum (26); ṭum (6); du₄ (6); ip₂ (5); ṭu₄ (5); TUM (3); ib₂ (1); eb₂ (1),,,dum; ib₂; tu₄; tum; ṭum; TUM,tum (2027); tu₄ (457); dum (26); ṭum (2); TUM (2); ib₂ (1),dum; tu₄; tum; ṭum,tum (231); tu₄ (8); dum (3); ṭum (1),dum; ep₂; tu₄; tum; ṭu₄; TUM,tu₄ (1217); ep₂ (109); tum (7); dum (1); TUM (1); ṭu₄ (1)
,,,,,,356,434,691,,𒉐, 𒉐,|NIM×GAN₂@t|,TUM3 (NIM×KAR2),tum₃,tum₃ (3),tum₃; tumu₃,tum₃ (19); tumu₃ (4),,tum3; (nim+ k); [timu3],to bring,,,,,,,,,,,,,,tum₃,tum₃ (1),,,tum₃,tum₃ (22),tum₃,tum₃ (2),,
,,,,,,401.1,595,836,,𒂅,𒂆,DUN₃,TUN3 k,du₅; dun₃; DUN₃,dun₃ (11); DUN₃ (6); du₅ (1),tun₃,tun₃ (5),,du5; dun3/tun3; (giĝ4-); [sug5],,,,,,,,,,,,,,,ṭu,ṭu (59),,,tu₁₈; tun₃; ṭu; DUN₃,ṭu (876); DUN₃ (2); tun₃ (2); tu₁₈ (1),ṭu; DUN₃,ṭu (474); DUN₃ (3),ṭu,ṭu (230)
,,,,,,393,144,255,,𒌉, 𒌉,TUR,TUR,ban₃; banda₃; di₄; dumu; peš₇; tur; TUR,tur (26); TUR (24); banda₃ (21); dumu (14); peš₇ (2); di₄ (2); ban₃ (1),banda₃; di₄; dumu; TUR,dumu (95); di₄ (8); banda₃ (4); TUR (1),,banda3; de10; del3; dumu; tur; (du13 k); [di4],adj.; small; little; young; v.; to be small; insufficient; (banda3): fierce; proud; (dumu): son,,,,,,,,, DUMU - mārum;; TUR - sehrum,son; to be small; a child,,TUR,TUR (2),ban₃; dumu; tur; TUR,TUR (10); tur (4); ban₃ (2); dumu (1),,,tur; TUR,tur (184); TUR (135),tur; TUR,tur (17); TUR (13),tur; TUR,tur (52); TUR (8)
,,,,,,8,87.1,145,12263+121EC,𒉣𒇬,𒉦 ,|NUN.LAGAR|,TUR3 (NUN.LAGAR),|NUN.LAGAR|; tur₃,tur₃ (4); |NUN.LAGAR| (3),tur₃,tur₃ (3),,tur3 (šilam-),cattle pen,,,,,,,,,,,,,,,,,,tur₃,tur₃ (1),,,,
,,,,,,337,411,661,,𒌋, 𒌋,U,U (ŠU4),1(bur₃); 1(u); u@c; U,1(u) (42); u@c (7); U (2); 1(bur₃) (2),šu₄; u@c,u@c (24); šu₄ (5),,bur3; buru3; šu4; u; (šuš?),(buru3): hole ,,,,,,,,, U,10,,u; U,u (2); U (1),u,u (834),,,u; U,u (9138); U (14),u; U,u (1545); U (127),u,u (3244)
,,,,,,146,318,490,,𒌑, 𒌑,U₂,U2,kuš₃; u₂; wa₃; U₂,u₂ (40); kuš₃ (11); U₂ (7); wa₃ (4),kuš₃; u₂; U₂,u₂ (78); kuš₃ (6); U₂ (1),,kuš3; u2; ba6,plant; food,,,,,,,,, u2,,,šam; u₂; U₂,u₂ (54); šam (5); U₂ (1),šam; u₂; U₂,u₂ (1500); U₂ (5); šam (2),,,ba₆; sam; šam; u₂; U₂,u₂ (8980); šam (294); U₂ (54); ba₆ (13); sam (13),šam; u₂; U₂,u₂ (5716); šam (28); U₂ (3),šam; u₂; U₂,u₂ (4121); šam (12); U₂ (1)
,,,,,,239.2,455.1,731,,𒅇, 𒅇,|IGI.DIB|,U3 (IGI.DIB),|IGI.DIB|; u₃,u₃ (31); |IGI.DIB| (1),u₃,u₃ (49),,u3,,,,,,,,,, u3,,,u₃,u₃ (22),u₃,u₃ (2921),,,u₃,u₃ (1244),u₃,u₃ (940),u₃,u₃ (756)
,,114,,,37,33,78.1,133,12317+122DB,𒄷𒋛, 𒄷𒋛,|HU.SI|,U5 (HU.SI),u₅,u₅ (19),,,,u5,to ride,to ride; mount; to drive/steer; object,,,,,,,,,,,,,,,,,u₅,u₅ (3),,,,
,,,,,,236,449.145,728,,𒅆,𒅆𒂍,|IGI.E₂|,U6 (IGI.E2),u₆,u₆ (2),u₆,u₆ (6),,u6,(u6-di): to admire; admiration,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,399,494,772,,𒇇, 𒇇,|LAGAB×(GUD&GUD)|,U8 (LAGAB×GU4/ GU4),u₈,u₈ (28),u₈,u₈ (1),,u8; cf. 407. ŠURUM; [ganam4],ewe,,,,,,,,,,,,,,,,,,u₈,u₈ (13),u₈,u₈ (3),,
,,,,,,288,306,504,,𒄱,𒌒 ,UB,UB,ub; UB,ub (17); UB (9),ub,ub (11),,ar2; ub,corner; (ar2): praise,,,,,,,,, ub; up,,,ub; UB,ub (2); UB (1),ub; up; UB,ub (124); up (121); UB (2),,,ar₂; ub; up; UB,ub (988); up (446); ar₂ (336); UB (10),ar₂; ub; up,ub (312); ar₂ (200); up (122),ar₂; ub; up; UB,up (145); ar₂ (38); ub (26); UB (2)
,,,,,,157,152.4,277,,𒂬, 𒂬,|EZEN×KASKAL|,UBARA (EZEN×KASKAL),,,,,,un4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,171,291,455,,𒁛, 𒁛,|DAG.KISIM₅×GA|,UBUR (DAG.KISIM5×GA),,,,,,akam; ubur,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,173,292.1,459,,𒁥, 𒁥,|DAG.KISIM₅×LU|,UBUR2 (DAG.KISIM5×LU?),,,,,,(ubur2 k),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,332,381,596,,𒌓, 𒌓,UD,UD,ah₃; babbar; bir₂; kum₄; u₄; ud; utu; UD,UD (63); babbar (47); ud (37); utu (10); kum₄ (2); ah₃ (1); u₄ (1); bir₂ (1),babbar; bir₂; ud; utu,ud (47); utu (8); bir₂ (1); babbar (1),,a12? k; babbar; dag2; had2; la7/lah k; per/pir; tam; u4; ud; utu; zalag; (šara9 k); (uĝ4/un5 k); (ut k); [bar6]; [bir2],day; time; light; weather; storm; (babbar):  white (zalag): pure; bright,, Šamaš,,,,,,, ud; ut; uṭ; u4 (restricted to temporal nouns: e.g. ūmum; umakkal); tam (very rare; tam2 preferred); UTU; BABBAR,,,par; pir; tam; u₄; ut; UD,par (18); ut (17); pir (17); u₄ (15); tam (13); UD (1),hiš; par; pir; ta₅; tam; tu₂; ṭam₂; u₄; ud; ut; utu; uṭ; UD,ut (310); tam (247); ta₅ (97); tu₂ (42); par (39); UD (24); ud (23); uṭ (20); u₄ (8); ṭam₂ (2); utu (1); pir (1); hiš (1),,,bir₂; haš₃; hiš; lah; lih; par; per; pir; ta₅; tam; tu₂; u₄; ud; ut; utu; uṭ; UD,tu₂ (2694); UD (2541); ut (571); par (511); tam (291); u₄ (221); ud (219); pir (146); hiš (79); uṭ (69); lah (28); lih (25); ta₅ (11); per (5); utu (2); haš₃ (1); bir₂ (1),hiš; lah; lih; par; per; pir; tam; tu₂; u₄; ud; ut; uṭ; UD,UD (769); tu₂ (479); ut (262); par (98); pir (91); tam (52); ud (45); hiš (8); uṭ (6); lih (6); lah (5); u₄ (3); per (3),lah; par; per; pir; ta₅; tam; tu₂; u₄; ud; ut; uṭ; UD,u₄ (2135); tu₂ (1644); ut (371); ud (369); tam (168); UD (131); pir (129); par (21); uṭ (5); lah (2); per (1); ta₅ (1)
,,,,,,442,577,833,,𒌜,𒌜,UDUG,UDUG,,,,,,udug,,,,,,,,,,,,,,,,,,,UDUG,UDUG (14),,,,
,,,,,,340,415,665,,𒌋𒈬, 𒌋𒈬,|U.MU|,UDUN (U.MU),,,,,,udun (= uMU),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,179,130,296,,𒊌,𒊌,|PIRIG×UD|,UG,ug,ug (9),,,,ug (uk k); (piriĝ+) [piriĝ3],,,,,,,,,, ug; uk; uq,,,,,|PIRIG×UD|; ug; uk; uq,uk (75); uq (20); ug (6); |PIRIG×UD| (1),,,ug; uk; uq,uk (542); uq (149); ug (68),ug; uk; uq,uk (58); uq (13); ug (11),ug; uk; uq,uq (139); uk (11); ug (6)
,,,,,,358,412,663,,𒌋𒅗, 𒌋𒅗,|U.KA|,UGU (U.KA),,,,,,uugu6 [ugu],,,,,,,,,,,,,,,muh,muh (9),,,muh,muh (38),muh,muh (8),muh,muh (573)
,,,,,,,418,,,, 𒐎,|U.DAR|,UGUN,,,,,,,,,,,,,,,,Ištar (Iš8/Aš-tar2),,,,,,,,,|U.DAR|,|U.DAR| (1),,,,
,,,,,,333,392,611,,𒌔, 𒌔,|UD.KUŠU₂|,UH2 (UD.KUŠU2),|UD.KUŠU₂|; akšak,|UD.KUŠU₂| (2); akšak (1),,,,ah6; akšak; uh2,,,,,,,,,,,,,,,uh₂,uh₂ (2),,,uh₂,uh₂ (16),,,,
,,,,,,,,30,1215E,,,|URU×BAR|,UKKIN (KAxBAR),|URU×BAR|; ukkin; unken,unken (10); ukkin (2); |URU×BAR| (1),unken,unken (2),,UKKIN (var.),,,,,,,,,,,,,,,,,,,ukkin,ukkin (1),,,,
,,,,,,186,40,73,1233A,𒌺, 𒌺,|URU×BAR|,UKKIN (URU×BAR),|URU×BAR|; ukkin; unken,unken (10); ukkin (2); |URU×BAR| (1),unken,unken (2),,unken [ukkin; unkin],assembly,,,,,,,,,,,,,,,,,,ukkin,ukkin (1),,,,
,,,,,,466,482,751,,𒇳𒁺,𒇳𒁺,|LAL₂.DU|,UKU2 (LAL2×DU),,,,,,uku2 (ukur3),poor man,,,,,,,,, la5; lal2 (extremely rare),,,,,,,,,,,,,,
,,,,,,344,441,698,,𒌌,𒌌 ,|U.GUD|,UL (U.GUD),du₇,du₇ (23),du₇; ul,du₇ (31); ul (2),,du7; ul,n.; pleasure; satisfaction; adj.; remote (time); (du7): to fit; to be appropriate,,,,,,,,, ul,,,ul,ul (14),ul,ul (465),,,ul,ul (814),ul,ul (901),ul,ul (376)
,,,,,,113,134,238,,𒌝, 𒌝,UM,UM,um; UM,um (19); UM (5),um,um (5),,dehi / dehe / tehi / tehe; um,,,,,,,,,, um,,,um,um (5),u₁₆; um,um (603); u₁₆ (2),,,dih₂; u₁₆; um; UM,um (865); UM (9); dih₂ (2); u₁₆ (1),um,um (818),um,um (123)
,,,,,,114,134.1,238.1,,𒌝𒈨,,|UM.ME|,UM.ME,,,,,,eme2 k (= UMme); (emeda k),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,301,92.2,160,,𒃰𒋺𒌫, 𒃰𒉫𒌫,UMBIN,UMBIN (GAD.KID2.),umbin,umbin (3),,,,umbin,nail; wheel,,,,,,,,,,,,,,,,,,UMBIN,UMBIN (7),,,UMBIN,UMBIN (2)
,,,,,,208,317,489,,𒋄,𒋄 ,|ŠID×A|,UMBISAĜ2,alal,alal (1),,,,ala4/alal (mezeĝ); [pisaĝ3],,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,169,312,500,,𒌦,𒌦,UN,UN,kalam; un; UN,kalam (39); UN (5); un (2),kalam; uŋ₃,kalam (11); uŋ₃ (5),,kalam; uĝ3; un,people; (kalam): native land; country; esp. Sumer,,,,,,,,, un,,,,,un; UN,un (88); UN (6),,,kalam; un; UN,UN (839); un (613); kalam (1),un; UN,un (432); UN (104),un; UN,un (3814); UN (99)
,,,,,,129,195,232,,𒀕,𒀕 ,AB@g,UNUG (AB-g.),aba₄; gun₄; irigal₂; unug; urugal₂; AB@g,unug (24); AB@g (17); aba₄ (6); urugal₂ (5); gun₄ (5); irigal₂ (1),gun₄,gun₄ (7),,ab4; aba4; erigal2/irigal2 k; guna4 k; unu(g); (urugal2 k),,(unug ki): Uruk,,,,,,,,,,,,,iri₁₁,iri₁₁ (1),,,,,,,,
,,,,,,400,575,828,,𒌨, 𒌨,UR,UR,lik; teš₂; ur; UR,ur (96); UR (8); lik (3); teš₂ (1),ur; UR,ur (114); UR (2),,teš2; ur,,,,,,,,,,ur; lik; lig; liq; taš ,,,lik; ur,ur (2); lik (1),leq; lik; liq; ur; UR,ur (262); lik (41); UR (4); liq (1); leq (1),,,leq; lig; lik; liq; tas; taš; taṣ; tes₂; teš₂; tiš₂; tiz₂; ur; UR,lik (899); ur (874); taš (300); liq (116); tes₂ (42); tas (29); tiš₂ (23); UR (17); teš₂ (15); taṣ (13); leq (7); lig (5); tiz₂ (1),lik; liq; tas; taš; taṣ; taz; ur; UR,lik (479); ur (76); liq (62); taš (60); tas (9); taṣ (6); UR (2); taz (1),daš; lik; liq; taš; ur; UR,ur (68); lik (58); taš (23); daš (21); liq (4); UR (1)
,,736,376,n/a,n/a,72,203,341,,𒌫, 𒌫,UR₂,UR2,ur₂; UR₂,ur₂ (25); UR₂ (2),ur₂,ur₂ (3),,ur2 (ušbar-/ušbur- k),legs; trunk of a tree,,,,,,,,, ur2 (very rare; il5 preferred),,,,,ur₂; UR₂,ur₂ (19); UR₂ (1),,,ur₂; UR₂,UR₂ (45); ur₂ (22),ur₂; UR₂,ur₂ (5); UR₂ (5),ur₂; UR₂,ur₂ (5); UR₂ (1)
,,,n/a,n/a,na,73,204,342,,𒌰, 𒌰,|UR₂×NUN|,UR2×NUN,,,,,,ušbar/ušbur k,,,,,,,,,,,,,,,,,,,,,,,,
,,,170,n/a,n/a,74,204.1,344,,𒌱, 𒌱,|UR₂×U₂|,UR2×U2,,,,,,ušbar7/ušbur7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,99,255,411,,𒃡, 𒃡,|GA₂×NUN&NUN|,UR3 (ĜA2×NIR),|GA₂×NUN&NUN|; ur₃,ur₃ (20); |GA₂×NUN&NUN| (1),ur₃; uru₁₂,ur₃ (13); uru₁₂ (4),,ĝušur; ur3,roof,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,448,594,835,,𒌴, 𒌴,UR₄,UR4,ur₄; UR₄,ur₄ (26); UR₄ (4),,,,ur4,to assemble; to gather,,,,,,,,,,,,,,,,,,ur₄,ur₄ (1),UR₄,UR₄ (1),,
,,,,,,252,575.1,828,,𒌩,,|UR%UR|,URBINGU (UR×UR),,,,,,(kitešbix? k),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,224,359,574,,𒌵, 𒌵,URI,URI (TAB.NIĜ2/ TAB.NIĜ2),kinda₂; uri; URI,uri (22); kinda₂ (8); URI (3),kinda₂; URI,kinda₂ (2); URI (1),,kinda2; uri,,,,,,,,,,,,,,,,,,,URI,URI (411),URI,URI (49),URI,URI (2)
,,,,,,21.1,331,535,,𒌶,𒋀,URI₃,URI3,uri₃,uri₃ (1),urin,urin (5),,urin; [uri3],,to protect,naṣāru,,,,,,,,,,,,,,,,uri₃; URI₃,URI₃ (5); uri₃ (1),,,URI₃,URI₃ (48)
,,,,,,181,38,71,12337,𒌷, 𒌷,URU,URU,iri; ri₂; uru; URU,ri₂ (19); iri (19); uru (11); URU (10),iri; ri₂; URU,iri (60); ri₂ (3); URU (1),,eri/iri; re2; ri2; uru k; lu7-; ulu3-; uru17-; (eri4; rirmma-) ,town,,,,,,,,,,,,,,ali; ri₂; URU,URU (864); ri₂ (2); ali (1),,,ala; alu; ere; eri; ri₂; URU,URU (697); eri (23); ere (5); ri₂ (3); ala (1); alu (1),eri; re₂; URU,URU (244); eri (1); re₂ (1),eri; URU,eri (21); URU (18)
,,,,,,190,46.3,81,12338,𒌸, 𒌸,|URU×A|,URU×(Z)A,|URU×A|; urua,urua (3); |URU×A| (1),uru₁₈,uru₁₈ (1),,uru18?,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,185,46,84,12340,𒍀, 𒍀,|URU×GU|,URU×GU,šakir,šakir (3),guru₅,guru₅ (1),,guru5; guruš3; šakir; šigx; (gur5),,,,,,,,,,,,,,,,,,gur5,,,,,,
,,,,,,187,43,74,1233E,𒌾, 𒌾,|URU×GAN₂@t|,URU×KAR2 (“URU2”),,,urub,urub (3),,uru2 (irimmaxk) (ri2+ k),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,188,39,72,1234B,𒍋, 𒍋,|URU×TU|,URU×TU,,,,,,šig5 [šeg5],,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,111,132,230,,𒍏, 𒍏,URUDA,URUDU,da₅; uruda; URUDA,uruda (17); da₅ (5); URUDA (3),dab₆; urud,urud (3); dab₆ (3),,dab6; urud(a); [urudu],copper,,,,,,,,, URUDU - wēriˀum ,copper,,,,,,,,URUDA,URUDA (1),,,,
,,,,,,128,194,228,,𒀍, 𒀍,|AB×GAL|,URUGAL (AB×GAL),,,,,,erigal/irigal,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,82,12341,,,|URU×HA|,URUxḪA,,,,,,,,,,,,,,,,,,,,,,,,urušeb,,,,,,
,,,,,,,,71,12349,,,|URU×ŠE|,URUxŠE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,68,211,381,,𒍑, 𒍑,UŠ,UŠ,ŋeš₃; nita; us₂; uš; UŠ,UŠ (23); uš (17); us₂ (12); nita (6); ŋeš₃ (1),ŋeš₃; nita; us₂; uš,us₂ (18); uš (7); nita (3); ŋeš₃ (1),,ĝeš3; ninta; us2; uš; [ĝiš3]; [nita(h)],(nita): male,male; penis,zikaru,,,,,,, uš; us2 (uncommon); uz (uncommon); uṣ (uncommon),,,us₂; uš,uš (4); us₂ (3),giš₃; us₂; uš; uṣ₂; UŠ,uš (382); us₂ (4); UŠ (3); giš₃ (1); uṣ₂ (1),,,nid; nit; niṭ; us₂; uš; uz₂; UŠ,uš (1109); UŠ (231); nit (24); us₂ (6); nid (4); uz₂ (1); niṭ (1),nid; nit; uš; UŠ,uš (438); UŠ (26); nit (13); nid (8),nid; nit; niṭ; uš; UŠ,uš (258); UŠ (11); nit (9); niṭ (5); nid (1)
,,,,,,69,241,382,,𒃩, 𒍕,|UŠ×TAK₄|,UŠ×KID2,|UŠ×TAK₄|,|UŠ×TAK₄| (1),,,,tan6 [dan6],,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,314,17,29,1215C,𒅜, 𒅜,|KA×BAD|,UŠ11 (KA×BAD),,,,,,uš11  [uš12],,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,90,107,177,,𒄛, 𒄛,|GU₂×NUN|,USAN (GU2-g.),|GU₂×NUN|,|GU₂×NUN| (1),,,,usan,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,373,394.3,619,,𒉮,𒉮,|NUNUZ.AB₂×AŠGAB|,USAN3 (NUNUZ.AB2×AŠGAB/LU2),|NUNUZ.AB₂×AŠGAB|; usan₃,usan₃ (9); |NUNUZ.AB₂×AŠGAB| (1),usan₃,usan₃ (1),,usan3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,479,598.4,864,,𒐍,𒐆 ; 𒐍,8(DIŠ),USSU,,,,,,us(s)a/ussu,,,,,,,,,,USSU,8,,,,,,,,8(diš); 8(DIŠ),8(DIŠ) (3); 8(diš) (1),,,,
,,,,,,467,482.15,751,,𒇳𒊬,𒇳𒊬,|LAL₂.SAR|,UŠUR (LAL2×SAR),,,,,,ušur [usar],companion (among females),,,,,,,,,,,,,,,,,,šur₄,šur₄ (6),šur₄,šur₄ (1),,
,,,,,,351,443,700,,𒌋𒂵,𒌋𒂵,|U.GA|,UTU2 (U.GA),,,,,,ud6? k; (zahan2),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,379,372,583,,𒊻, 𒊻,|ŠE.HU|,UZ (ŠE.HU),uz,uz (25),uz,uz (4),,uz (us k),,,,,,,,,, us (uncommon); uz (uncommon); uṣ (uncommon),,,uz,uz (1),us; uṣ; uz,uṣ (42); us (38); uz (20),,,us; uṣ; uz,us (377); uz (202); uṣ (142),us; uṣ; uz,us (144); uṣ (76); uz (47),us; uṣ; uz,us (51); uz (9); uṣ (4)
,,,,,,54,122.2,203,,𒍚, 𒍚,UZ₃,UZ3,uz₃; uzud,uz₃ (15); uzud (10),ud₅,ud₅ (1),,ud5 [uz3],she-goat,goat,,,,,,,,,,,,,,,,,UZ₃,UZ₃ (16),UZ₃,UZ₃ (1),UZ₃,UZ₃ (7)
,,,,,,134,171,311,,𒍜,𒍜,UZU,UZU,uzu,uzu (5),,,,usu3 k [uzu],flesh; cut of meat,,,,,,,,,,,,UZU,UZU (1),šir₄; UZU,UZU (51); šir₄ (3),,,šir₄; UZU,UZU (305); šir₄ (3),UZU,UZU (145),UZU,UZU (44)
,,,,,,474,586,851,,𒐉,𒍝,ZA,ZA (LIMMU5),za; ZA,za (44); ZA (8),za,za (13),,limmu5; za; ze4; (sa3 k),,,,,,,,,, za; ṣa; sa3; LIMMU5 ,4,,ṣa; za; ZA,ṣa (62); ZA (2); za (2),sa₃; ṣa; za; ZA,ṣa (468); za (276); sa₃ (88); ZA (10),,,sa₃; ṣa; za; ZA,za (1586); ṣa (1346); sa₃ (38); ZA (15),sa₃; ṣa; za; ZA,ṣa (304); za (252); sa₃ (58); ZA (1),ṣa; za,ṣa (1187); za (358)
,,,,,,332.1,381.1,596.1,,𒌓𒅗𒁇, 𒌓𒅗𒁇,|UD.KA.BAR|,ZABAR (UD.KA.BAR),zabar,zabar (4),zabar,zabar (2),,,,,siparrum,,,,,,,ZABAR,bronze,,,,,,,,,,,,,
,,84,,,,11,4,13,1222F,𒈯,𒈯 ,MUG@g,ZADIM,zadim; MUG@g,zadim (17); MUG@g (1),zadim,zadim (1),,zadim,stone cutter (za-dim2),, sasinnu,,,,,,,,,,,,,,,,,,,,,
,,,,,,205,332,540,,𒍠, 𒍠,ZAG,ZAG,za₃; zag; ZAG,zag (24); ZAG (11); za₃ (2),za₃; zag,zag (12); za₃ (2),,za3; (zag); zak,border; limit; side; district,,,,,,,,,,,,zak,zak (6),ZAG,ZAG (3),,,buti; butu; zag; zak; zaq; ZAG,ZAG (362); zak (131); zaq (81); zag (3); butu (3); buti (1),zak; zaq; ZAG,zak (15); ZAG (7); zaq (4),zaq; ZAG,zaq (48); ZAG (2)
,,,,,,471,584,846,,𒀄,𒀄,|A×HA|,ZAH3 (A×HA),,,,,,(sah7) [zah3],,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,413,491,767,,𒇡, 𒇡,|LAGAB×SUM|,ZAR (LAGAB×SUM),bul₅,bul₅ (4),bul₅,bul₅ (2),,zar,,,,,,,,,,,,,ṣar,ṣar (3),ṣar; zar,ṣar (23); zar (1),,,ṣar; zar,ṣar (312); zar (143),ṣar; zar,ṣar (110); zar (38),ṣar; zar,ṣar (6); zar (3)
,,,,,,41,84,140,12363,𒍣, 𒍣,ZI,ZI,si₂; zi; zid; ZI,zi (57); ZI (10); zid (4); si₂ (2),zi; zid; zig₃,zid (62); zi (20); zig₃ (11),,ze k; zi; (si2 k); [zid; zig],breath; throat; life; (zi-d.): faithful; (zi-g.): to raise; to arise,to cut; remove; erase; life; breath; true; right (zid); to rise; stand up (zig); pull; rip off (zil); to tear; break; destroy (zir),baqāmu; barāšu,,,,,,, zi; ze; se2; si2; ṣe2; ṣi2,,,zi,zi (1),se₂; si₂; ṣe₂; ṣi₂; ze; zi; ZI,zi (324); ṣi₂ (121); si₂ (44); ZI (26); ṣe₂ (25); ze (18); se₂ (3),,zi; ze,si₂; ṣi₂; ze; zi; ZI,zi (836); ZI (552); ze (87); si₂ (3); ṣi₂ (2),ze; zi; ZI,ZI (221); zi (162); ze (17),si₂; ṣi₂; ze; zi; ZI,ze (101); zi (35); ZI (8); si₂ (2); ṣi₂ (1)
,,,,,,,,101,12364,,,,ZI/ZI,,,,,,,,,,,,,,,,,,,,,,,,zi/zi,,,,,,
,,,,,,151,66.1,104,12364+12000,𒍤𒀀,𒍤𒀀 ,|ZI&ZI.A|,ZI/ZI.A,|ZI&ZI.A|; zulumhi₃,|ZI&ZI.A| (20); zulumhi₃ (2),,,,zukum2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,150,66.2,103,12364+120A0,𒍤𒂠, 𒍤𒉇,,ZI/ZI.ŠE3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
