CTRL,Bauer et al (pg.),Schneider; Ur III,Rosengarten,LAK,REC,OBO,Labat,Borger (MesZL),unicode,OB Signs,Sign var. (?),OGSL,SIGN NAME,ED III Sumerian (Oracc),ED III Sumerian (Oracc)_att,Lagaš II Sumerian (Oracc),Lagaš II Sumerian (Oracc)_att,Ur III,OB Sumerian,Basic Meaning,Other,Akkadian word equivalent,Uruk,Pre-Sargonic,Ebla,Ebla Meaning,OAkk,OB,OA,OA Meaning,Amarna,MA (Oracc),MA (Oracc)_att,MB (Oracc),MB (Oracc)_att,Nuzi,NA,NA (Oracc),NA (Oracc)_att,NB (Oracc),NB (Oracc)_att,LB (Oracc),LB (Oracc)_att
,,,,,,148,325,502,,𒉪,𒉪 ,|NUN&NUN|,NIR (NUN/NUN),|NUN&NUN|; nir,nir (9); |NUN&NUN| (2),nir,nir (6),,nir; šer7,,,,,,,,,,,,,,,nir,nir (6),,,nar₃; ner; nir,nar₃ (12); nir (6); ner (5),nar₃; nir,nar₃ (3); nir (1),,
,,,,159,,206,337,545,,𒉠, 𒌘,NISAG,NISAĜ,nesag; nisaŋ; NISAG,NISAG (7); nisaŋ (7); nesag (1),,,,nisaĝ [nesaĝ],,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,19,75,112,12261,𒉡, 𒉡,NU,NU,nu; NU,nu (125); NU (12),nu,nu (58),,nuk,,no/not; image,lā; ul; ṣalmu,,,,,,, nu,,,nu; NU,nu (49); NU (1),nu; NU,nu (2558); NU (9),,,la₃; nu; NU,nu (9814); NU (322); la₃ (192),la₃; nu; NU,nu (1965); NU (41); la₃ (7),nu; NU,nu (2960); NU (175)
,,,,,,26,72,117,121B0,𒆰,𒆰 ,KUL,NUMUN,kul; numun; KUL,kul (11); numun (9); KUL (5),numun,numun (6),,kul; nuĝun; (nu5 k); (numun k),seed,seed,zerū,,,,,,,,,,,,kul; qul; zir,kul (6); qul (1); zir (1),,,gul₂; kul; qul; zar₄; zer; zir; ziri; KUL,kul (234); zir (30); qul (19); zar₄ (16); zer (4); KUL (3); gul₂ (2); ziri (1),kul; qul; zer; zir,kul (21); qul (3); zer (2); zir (2),kul,kul (20)
,,,,,,149,66.3,102,12363 12364,𒍤𒆸, 𒍤𒆸,|ZI&ZI.LAGAB|,NUMUN2 (ZI/ZI.LAGAB),|ZI&ZI.LAGAB|,|ZI&ZI.LAGAB| (5),,,,aški; gin4; gug4; numun2; šub5; zukum; [sub5],rushes,,,,,,,,,,,,,,,,,,|ZI&ZI.LAGAB|,|ZI&ZI.LAGAB| (1),,,,
,,,,,,47,87,143,12263,𒉣,𒉣,NUN,NUN,nun; zil; NUN,nun (80); NUN (38); zil (1),eridug; nun,nun (17); eridug (2),,eridu; nun; zil,prince,,,,,,,,,,,,,,NUN,NUN (1),,nun; zil. sil,nun; sil₂; ṣil; zil; NUN,NUN (176); nun (86); ṣil (51); zil (7); sil₂ (5),nun; ṣil; zil; NUN,NUN (27); nun (23); zil (2); ṣil (2),ṣil; NUN,NUN (8); ṣil (1)
,,,,,,,,107,1226B,,,TAK₄,NUN crossing NUN (cf. n.106),tak₄; taka₄; TAK₄,TAK₄ (16); tak₄ (3); taka₄ (1),da₁₃; taka₄,da₁₃ (2); taka₄ (1),,,,,,,,,,,,,,,,,gid₆,gid₆ (2),,irbura; erbura,kit₂; tat; TAK₄,TAK₄ (1); kit₂ (1); tat (1),dat; kit₂,dat (1); kit₂ (1),dad; dat; kit₂; tad; tat,tat (288); tad (36); dat (22); dad (1); kit₂ (1)
,,,,,,,,146,12264 12265 12268,,,,NUN-LAGARxGAR IMMAL (NUN-LAGARxMAŠ) NUN-LAGARxUŠ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,241,87.2,144,12269,𒉩,,NUN@t,NUN-tenu,agargara; NUN@t,NUN@t (2); agargara (2),,,,aĝargara/aĝarĝara (ĝar6),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,315,18,31,1217B,𒅻, 𒅻,|KA×NUN|,NUNDUM (KA×NUN),,,,,,numdum [nundum/nundun],,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,371,394,614,,𒉭,𒉭,NUNUZ,NUNUZ,nunuz; nuz; NUNUZ,NUNUZ (17); nunuz (9); nuz (6),,,,nida; nunus; nus; [nunuz],egg,,,,,,,,,,,,,,,,,,NUNUZ,NUNUZ (9),,,NUNUZ,NUNUZ (2)
,,,,,,143,295,464,,𒉺, 𒉺,PA,PA,pa; ugula; PA,PA (53); pa (21); ugula (6),ŋidru; hendur; pa; sag₃; ugula,pa (28); ŋidru (16); ugula (4); hendur (3); sag₃ (3),,ĝedru/ĝidru; hendur; pa; sag3; ugula; (banmin); (hud? k); (kumx? k); [ĝidri]; [sig3],branch; wing; (ĝidru): scepter; (sig3): to strike; to make tremble; (ugula): chief of a team,,,,,,,,, pa (relatively rare; pa2 preferred); UGULA - waklum,ruler (royal title),,pa; PA,pa (23); PA (1),ba₂; hat; pa; PA,pa (974); ba₂ (101); PA (2); hat (1),,,ari₃; ba₂; had; hat; haṭ; lar; pa; sig₃; šullat₂; PA,pa (3542); PA (699); hat (57); haṭ (18); had (7); sig₃ (3); ba₂ (3); lar (2); ari₃ (1); šullat₂ (1),had; hat; haṭ; pa; PA,pa (974); PA (60); hat (13); haṭ (6); had (3),hat; haṭ; pa; PA,pa (506); hat (465); PA (3); haṭ (1)
,,,,,,,,96,1227D+1208A,𒉽𒂊,,|PAP.E|,PAB-E (PA5),pa₅,pa₅ (3),,,,,pouch,,,,,,,,,,,,,,,,,pa5,,,,,,
,,,,,,,,95,1227D+12156,,,|PAP.IŠ|,PAB-IŠ (PA6),,,,,,,,,,,,,,,,,,,,,,,,pa6,,,,,,
,,,,,,362,469,746,,𒉻, 𒉻,PAD,PAD (U.NIĜ2),kur₆; PAD,PAD (3); kur₆ (3),kurum₆; pad,kurum₆ (4); pad (1),,kurum6; pad; šuku; šutug; (bu15 k); (kur6 k),,,,,,,,,,,,,šuk; šuq,šuk (1); šuq (1),pat; paṭ; šuk,šuk (3); pat (1); paṭ (1),,,bat₂; pad; pat; paṭ; šuk; šuq; PAD,pat (220); PAD (131); šuk (43); pad (25); paṭ (23); šuq (4); bat₂ (2),pad; pat; paṭ; šuk; šuq; PAD,šuk (109); pat (16); PAD (10); paṭ (6); pad (2); šuq (1),pat; paṭ,pat (3); paṭ (1)
,,,,,,235,450,725,,𒅆𒊒,𒅆𒊒,|IGI.RU|,PAD3 (IGI.RU),,,pad₃,pad₃ (19),,pa3 (pad3),to find; to choose,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,27,439,685,,𒉼, 𒉼,PAN,PAN,ban; pan; PAN,ban (22); pan (1); PAN (1),,,,pana; [ban; pan],,bow,qaštu,,,,,,,,,,,,PAN,PAN (1),,,ban; pan; PAN,ban (90); PAN (33); pan (24),ban; pan,ban (31); pan (5),ban; PAN,ban (12); PAN (1)
,,,,,,249,60,92,1227D,𒉽,𒉽,PAP,PAP,pa₄; pap; PAP,PAP (30); pap (14); pa₄ (2),kur₂; pa₄,kur₂ (6); pa₄ (1),,kur2; pa4; pap,,"""first and foremost; pre-eminent; father; male; virile; brother"" (epsd)",abu; ahu; ašarēdu; zikaru,,,,,,,,,,,,kur₂; pa₄; pap,kur₂ (47); pap (2); pa₄ (2),,pab,bab; bap; kur₂; pap; PAP,PAP (255); kur₂ (33); bab (22); pap (22); bap (4),bab; kur₂; PAP,bab (16); PAP (8); kur₂ (4),bab; pa₄; pap; PAP,bab (277); PAP (198); pa₄ (2); pap (1)
,,,,,,418,596,741,,𒉾,,PEŠ₂,PEŠ2,ka₆; kilim; peš₂,ka₆ (9); peš₂ (5); kilim (3),,,,gilin; peš2; [gilim2; kilim/kilin],,,,,,,,,,,,,,,,,,,PEŠ₂,PEŠ₂ (4),,,,
,,,,,,436,390,608,,𒊯, 𒊯,|ŠA₃×A|,PEŠ4 (ŠA3×A),,,,,,bir7; isla/išla k; (sur4 k); [iškila],to rip into pieces; to break,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,370,383,598,,𒉿, 𒉿,PI,PI,ŋeštu; pi; tal₂; wu; PI,tal₂ (9); PI (9); wu (2); ŋeštu (1); pi (1),bi₃,bi₃ (2),,ĝeštu; muštu; pe; tal2; wa; (emx? k); (ĝaštan(a)x k); ĝeštug); (me8 k); (pi); (wi); [muštug],,,,,,,,,, wa; we; wi; wu,,,pe; pi; PI,pe (14); pi (13); PI (1),a₃; ia₈; iu₂; pe; pi; wa; we; wi; wu; ya; yi; yu; PI,yi (402); wa (352); yu (162); ya (104); pi (51); pe (19); wi (17); wu (12); iu₂ (9); ia₈ (6); PI (2); we (1); a₃ (1),,,a₃; pe; pi; tal₂; wa; we; wi; wu; ya; PI,pi (1681); pe (284); wa (28); tal₂ (15); a₃ (12); PI (12); wi (11); ya (10); wu (6); we (1),pe; pi; PI,pi (448); pe (137); PI (27),pe; pi; wa; PI,pi (191); PI (73); pe (16); wa (1)
,,,,,,178,444,701.2,,𒊊, 𒄊,PIRIG,PIRIĜ (NE3),ne₃; piriŋ; PIRIG,piriŋ (30); PIRIG (8); ne₃ (4),piriŋ,piriŋ (1),,ne3; niskum; piriĝ; az-; ug-; (kušux k); [ug2],lion; (ne3): vigor,,,,,,,,,,,,,,ne₃,ne₃ (1),,,ne₃,ne₃ (1),,,ne₃,ne₃ (1)
,,,,,,320,26,33,12164,𒆃, 𒆃,|KA×GAN₂@t|,PU3 (KA×ŠU),bu₃; pu₃,bu₃ (10); pu₃ (1),pu₃,pu₃ (1),,bu3 k; šudu3; [šud3],,,,,,bu3,,,,,,,,,,,,,,,,,,
,,,,,,,,93,1227D+1212C,,,|PAP.HAL|,PUŠ2 (PAB-ḪAL),,,,,,,,,,,,,,,,,,,puš₂,puš₂ (1),puš₂,puš₂ (5),,puš2,puš₂,puš₂ (1),,,,
,,,,,,194,328,511,,𒊏,𒊏,RA,RA,ra; RA,ra (26); RA (1),ra,ra (187),,ra,to beat; to strike,,,,,,,,, ra,,,ra,ra (64),ra; RA,ra (1159); RA (5),,,ra; RA,ra (4078); RA (55),ra; RA,ra (1079); RA (11),ra; RA,ra (750); RA (8)
,,,,,,221.2,149,262,,𒈗, 𒊐,LUGAL,RAB3,lugal,lugal (48),lugal,lugal (112),,rab3,,,,,,,,,,,,,LUGAL,LUGAL (3),lugal; šar₃; šarru; LUGAL,LUGAL (2257); lugal (2); šar₃ (2); šarru (2),,,haniš₂; lugal; šar₃; LUGAL,LUGAL (8326); šar₃ (11); lugal (5); haniš₂ (1),LUGAL,LUGAL (3456),LUGAL,LUGAL (808)
,,,,,,39,86,142,12291,𒊑, 𒊑,RI,RI,re; ri; RI,ri (11); RI (3); re (1),re; ri,re (25); ri (5),,dal; de5; re; ri; (deg); [di5],to lean on; to touch; to moor a boat; (dal): to fly,to follow; to cry out; to be distant; to lay down; cast; place; exceed,ṣarāhu; nesû; atru; eli; rabû,,,,,,, ri; re; tal,,,re; ri; tal,ri (40); re (18); tal (4),re; ri; tal; RI,ri (1918); re (163); tal (16); RI (2),,ri; re; dal; tal; ṭal,dal; re; ri; tal; ṭal; RI,ri (3940); re (954); tal (667); dal (38); ṭal (21); RI (14),dal; re; ri; tal; RI,ri (790); re (167); tal (159); RI (26); dal (10),dal; re; ri; tal; ṭal,ri (1155); re (379); tal (20); dal (2); ṭal (1)
,,,,,,276,374.81,586,,𒈷, 𒈶,|MUŠ%MUŠ.A.NA|,RI8×A.NA (MUŠ×MUŠ×A.NA),,,,,,erina8 k; [arina; irina],,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,59,68,111,12292,𒊒, 𒊒,RU,RU,illar; ru; šub; RU,ru (30); RU (19); šub (3); illar (2),ru; šub; RU,ru (64); šub (5); RU (1),,ĝešpak; il(l)ar k; ru; šub; [ĝešpu],(šub): to drop; to fell a tree,,,,,,,,,ru ,,,ru; RU,ru (34); RU (1),ru,ru (1509),,ru,ru; šub; šup; RU,ru (5895); šub (100); šup (65); RU (6),ru; šub; šup; RU,ru (1314); šup (21); šub (13); RU (1),ru; šub; šup; RU,ru (729); šub (705); RU (12); šup (1)
,,,,,,147,104,172,,𒊓, 𒊓,SA,SA,sa,sa (17),sa,sa (11),,sa,sinew; tendon; net,,,,,,,,, SA (typically in Puzur-SA.TU-e); satu 'mountain',,,sa,sa (34),sa; ša₁₀; SA,sa (124); ša₁₀ (87); SA (3),,,sa; ša₁₀; SA,sa (2533); SA (12); ša₁₀ (1),sa; SA,sa (234); SA (20),sa; SA,sa (119); SA (2)
,,,,,,203,353,566,,𒊭, 𒊭,ŠA,ŠA,ara; ša; ŠA,ša (24); ŠA (2); ara (1),ša,ša (3),,ša,,,,,,,,,, ša; zur8 (only in PNs with Pu3-zur8),,,ša; ŠA,ša (189); ŠA (1),ša; ŠA,ša (2874); ŠA (4),,,na₅; ša; ŠA,ša (9845); ŠA (4); na₅ (3),ša,ša (502),ša,ša (41)
,,,,,,434,385,602,,𒊲, 𒊲,,ŠA×NE,,,,,,ninim,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,433,384,599,,𒊮, 𒊮,ŠA₃,ŠA3,ša₃; šag₄; ŠA₃,šag₄ (50); ŠA₃ (15); ša₃ (8),šag₄,šag₄ (47),,ša3 (šag4); (peš4-? k),heart; entrails; inside; bed of a river,, libbum,,,,,,, ŠA3 (in ŠA3.BA - ina qerbīšu - ‘thereof’),heart,,lib₃; ŠA₃,ŠA₃ (43); lib₃ (11),lib₃; ša₃; ŠA₃,lib₃ (126); ša₃ (82); ŠA₃ (34),,,lib₃; ša₃; ŠA₃,ŠA₃ (2946); lib₃ (262); ša₃ (38),lib₃; lip₃; ša₃; ŠA₃,ŠA₃ (932); lib₃ (2); ša₃ (1); lip₃ (1),lib₃; ša₃; ŠA₃,lib₃ (452); ŠA₃ (21); ša₃ (1)
,,,,,,435,384.1,601,,𒊴, 𒊴,|ŠA₃×TUR|,SA3×TUR,,,,,,peš13,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,136,82,138,12137+1223F,𒄷𒈿, 𒄷𒈿,|HU.NA₂|,SA4 (HU.NA2),,,še₂₁,še₂₁ (23),,še21; (sa4 k),,to name; call by name,,,,,,,,,,,,,,,,sa4; še21,,,,,,
,,,,,,228,356,571,,𒊷, 𒊷,ŠA₆,SA6,gišimmar; ŋešnimbar; hud₄; sag₉; šag₅; ŠA₆,ŠA₆ (9); hud₄ (9); gišimmar (5); šag₅ (2); sag₉ (2); ŋešnimbar (1),ŋešnimbar; sag₉,sag₉ (25); ŋešnimbar (4),,ĝešnimbar/ĝešninbar; sa6 (sag9); [ĝišimmar; ĝišnimbar; nimbar]; [ša6]; [šag5],good; beautiful; happy; (ĝišimmar): palm tree,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,309,115,184,,𒊕, 𒊕,SAG,SAĜ,sa₁₂; saŋ; SAG,saŋ (152); SAG (20); sa₁₂ (1),saŋ; SAG,saŋ (106); SAG (1),,saĝ; dil2-; kuš2-; sumur-; sur2-; (sa12 k); [dul7]; [sur14],head; individual,,,,,,,,, SAG - rēšum,head,,,,šak; šaq; SAG,SAG (16); šak (3); šaq (1),,sag; sak; saq; šag; šak; šaq; riš; reš; ris; res,reš; ris; riš; sag; saŋ; sak; saq; šag; šak; šaq; SAG,šak (329); SAG (299); riš (140); sak (137); šag (37); sag (34); reš (30); šaq (20); ris (5); saq (5); saŋ (1),reš; ris; riš; sag; sak; san; saq; šag; šak; šaq; SAG,SAG (209); šak (148); riš (31); sag (11); sak (10); reš (9); šaq (6); šag (2); saq (2); san (1); ris (1),ris; riš; sag; sak; šak; šaq; SAG,SAG (199); šak (68); riš (21); sag (8); sak (4); ris (2); šaq (1)
,,,,,,330,116,188,,, 𒊚,|SAG×KAK|,SAĜ×”GAG”,,,,,,// SAĜ×ŠID = dilib3 in DI W 35 B, ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,345,428,684,,𒌋𒃶,𒌋𒃶,|U.GAN|,ŠAGAN (U.GAN),šagan; šaŋan,šagan (8); šaŋan (2),,,,saman4 k [šaman2],,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,357,419,671,,𒌋𒊕,𒌋𒊕,|U.SAG|,SAĜŠU (U.SAĜ),sagšu,sagšu (13),,,,saĝdul k; saĝšu k; saĝtuš k,,,,,,,,,,,,,,,,,,,,,,,,
